stage,sample,dpt_pseudotime
266,9mo_SIGAE3_14686.30j,0.013063747
266,9mo_SIGAE3_14686.30j,0.018189251
266,9mo_SIGAE3_14686.30j,0.008167894
266,9mo_SIGAE3_14686.30j,0.011951283
266,9mo_SIGAE3_14686.30j,0.0137843555
266,9mo_SIGAE3_14686.30j,0.0077746483
266,9mo_SIGAE3_14686.30j,0.015084134
266,9mo_SIGAE3_14686.30j,0.012395195
266,9mo_SIGAE3_14686.30j,0.020687254
266,9mo_SIGAE3_14686.30j,0.018723717
266,9mo_SIGAE3_14686.30j,0.018448632
266,9mo_SIGAE3_14686.30j,0.015437548
266,9mo_SIGAE3_14686.30j,0.010610084
266,9mo_SIGAE3_14686.30j,0.017698033
266,9mo_SIGAE3_14686.30j,0.017548425
266,9mo_SIGAE3_14686.30j,0.01152263
266,9mo_SIGAE3_14686.30j,0.011453836
266,9mo_SIGAE3_14686.30j,0.014122166
266,9mo_SIGAE3_14686.30j,0.016771972
266,9mo_SIGAE3_14686.30j,0.0077805286
266,9mo_SIGAE3_14686.30j,0.0110712
266,9mo_SIGAE3_14686.30j,0.014879666
266,9mo_SIGAE3_14686.30j,0.011134892
266,9mo_SIGAE3_14686.30j,0.016664857
266,9mo_SIGAE3_14686.30j,0.016592706
266,9mo_SIGAE3_14686.30j,0.011655169
266,9mo_SIGAE3_14686.30j,0.011395131
266,9mo_SIGAE3_14686.30j,0.00498928
266,9mo_SIGAE3_14686.30j,0.009305661
266,9mo_SIGAE3_14686.30j,0.017991224
266,9mo_SIGAE3_14686.30j,0.012352893
266,9mo_SIGAE3_14686.30j,0.011017379
266,9mo_SIGAE3_14686.30j,0.005981471
266,9mo_SIGAE3_14686.30j,0.015774567
266,9mo_SIGAE3_14686.30j,0.016028449
266,9mo_SIGAE3_14686.30j,0.008961872
266,9mo_SIGAE3_14686.30j,0.011192429
266,9mo_SIGAE3_14686.30j,0.011372207
266,9mo_SIGAE3_14686.30j,0.008662536
266,9mo_SIGAE3_14686.30j,0.018825239
266,9mo_SIGAE3_14686.30j,0.017304933
266,9mo_SIGAE3_14686.30j,0.011239208
266,9mo_SIGAE3_14686.30j,0.015047735
266,9mo_SIGAE3_14686.30j,0.018531337
266,9mo_SIGAE3_14686.30j,0.016085658
266,9mo_SIGAE3_14686.30j,0.01062614
266,9mo_SIGAE3_14686.30j,0.008651298
266,9mo_SIGAE3_14686.30j,0.013903374
266,9mo_SIGAE3_14686.30j,0.016426215
266,9mo_SIGAE3_14686.30j,0.013632934
266,9mo_SIGAE3_14686.30j,0.008290093
266,9mo_SIGAE3_14686.30j,0.015001507
266,9mo_SIGAE3_14686.30j,0.020094778
266,9mo_SIGAE3_14686.30j,0.013174494
266,9mo_SIGAE3_14686.30j,0.017817542
266,9mo_SIGAE3_14686.30j,0.016740907
266,9mo_SIGAE3_14686.30j,0.018560475
266,9mo_SIGAE3_14686.30j,0.013485302
266,9mo_SIGAE3_14686.30j,0.014136521
266,9mo_SIGAE3_14686.30j,0.016461257
266,9mo_SIGAE3_14686.30j,0.01217358
266,9mo_SIGAE3_14686.30j,0.013769632
266,9mo_SIGAE3_14686.30j,0.015846783
266,9mo_SIGAE3_14686.30j,0.011706143
266,9mo_SIGAE3_14686.30j,0.012976164
266,9mo_SIGAE3_14686.30j,0.011459164
266,9mo_SIGAE3_14686.30j,0.009401249
266,9mo_SIGAE3_14686.30j,0.0080752475
266,9mo_SIGAE3_14686.30j,0.011054374
266,9mo_SIGAE3_14686.30j,0.009597439
266,9mo_SIGAE3_14686.30j,0.0168864
266,9mo_SIGAE3_14686.30j,0.01633188
266,9mo_SIGAE3_14686.30j,0.0049142526
266,9mo_SIGAE3_14686.30j,0.025603848
266,9mo_SIGAE3_14686.30j,0.015226887
266,9mo_SIGAE3_14686.30j,0.018572062
266,9mo_SIGAE3_14686.30j,0.016090512
266,9mo_SIGAE3_14686.30j,0.006404351
266,9mo_SIGAE3_14686.30j,0.010604357
266,9mo_SIGAE3_14686.30j,0.019258283
266,9mo_SIGAE3_14686.30j,0.017100116
266,9mo_SIGAE3_14686.30j,0.016797777
266,9mo_SIGAE3_14686.30j,0.015926337
266,9mo_SIGAE3_14686.30j,0.020212837
266,9mo_SIGAE3_14686.30j,0.010246143
266,9mo_SIGAE3_14686.30j,0.011964431
266,9mo_SIGAE3_14686.30j,0.024035646
266,9mo_SIGAE3_14686.30j,0.0106600495
266,9mo_SIGAE3_14686.30j,0.015096593
266,9mo_SIGAE3_14686.30j,0.011288017
266,9mo_SIGAE3_14686.30j,0.020230351
266,9mo_SIGAE3_14686.30j,0.018536862
266,9mo_SIGAE3_14686.30j,0.022676509
266,9mo_SIGAE3_14686.30j,0.0126609495
266,9mo_SIGAE3_14686.30j,0.008781985
266,9mo_SIGAE3_14686.30j,0.0053096083
266,9mo_SIGAE3_14686.30j,0.01621446
266,9mo_SIGAE3_14686.30j,0.010987708
266,9mo_SIGAE3_14686.30j,0.017559472
266,9mo_SIGAE3_14686.30j,0.013636949
266,9mo_SIGAE3_14686.30j,0.008386645
266,9mo_SIGAE3_14686.30j,0.010780877
266,9mo_SIGAE3_14686.30j,0.0091427
266,9mo_SIGAE3_14686.30j,0.01490344
266,9mo_SIGAE3_14686.30j,0.013529479
266,9mo_SIGAE3_14686.30j,0.011241783
266,9mo_SIGAE3_14686.30j,0.012679951
266,9mo_SIGAE3_14686.30j,0.006166522
266,9mo_SIGAE3_14686.30j,0.018335015
266,9mo_SIGAE3_14686.30j,0.014989874
266,9mo_SIGAE3_14686.30j,0.021019109
266,9mo_SIGAE3_14686.30j,0.01212483
266,9mo_SIGAE3_14686.30j,0.017219063
266,9mo_SIGAE3_14686.30j,0.0139251845
266,9mo_SIGAE3_14686.30j,0.017198937
266,9mo_SIGAE3_14686.30j,0.011177045
266,9mo_SIGAE3_14686.30j,0.015237081
266,9mo_SIGAE3_14686.30j,0.0137306005
266,9mo_SIGAE3_14686.30j,0.022504572
266,9mo_SIGAE3_14686.30j,0.018511731
266,9mo_SIGAE3_14686.30j,0.0138682965
266,9mo_SIGAE3_14686.30j,0.013166439
