1,1226.5,2139,527.54,357.25,357.27
2,42900,62916,27379,357.21,357.26
3,53761,77960,38879,357.25,357.26
4,56977,88793,28767,357.12,357.27
5,29367,41869,19421,357.23,357.26
6,33384,49368,20569,357.2,357.23
7,53573,77440,35208,357.27,356.94
8,14833,25925,5866.1,357.15,357.26
9,15209,21783,8863.4,357.2,357.26
10,38589,58240,23710,357.16,357.24
11,23772,46335,5944.4,357.18,357.27
12,18823,37650,385.32,357.26,357.25
13,7819.1,14751,1096.6,357.26,357.2
14,32451,46739,22685,357.26,357.23
15,8068,10806,4944.5,357.27,357.27
16,4789.5,9181,9.133e-07,357.26,356.88
17,2089,3765.9,310.52,357.24,357.27
18,939.17,2439.7,2.855e-07,357.27,355.28
19,534.91,1869.4,6.185e-07,357.26,355.56
20,190.99,1072.7,2.0652e-07,356.62,354.22
21,1063.4,1500,500,355.93,356.4
22,35307,46706,26347,357.27,357.24
23,0.0032052,0.012348,1.9306e-13,357.27,354.09
24,0.00077599,0.0017114,6.079e-07,357.27,356.61
25,0.00048324,0.0012395,6.927e-05,357.26,357.26
26,0.00041038,0.0014473,2.73e-07,357.26,354.96
27,0.0026012,0.0051834,0.0012868,357.27,357.23
28,0.0027507,0.0059597,0.0012412,357.26,357.27
29,0.00027206,0.0010644,2.72e-07,357.27,354.25
30,0.0020558,0.0082488,7.6e-08,357.25,355.16
31,0.0031318,0.0074138,0.00071864,357.22,357.27
32,0.000155,0.00059251,3.4142e-08,357.26,356.98
33,0.00043628,0.0030274,2.274e-07,357.03,353.95
34,4.4499e-05,0.0042366,2.8706e-07,357.27,353.74
35,0.00026208,0.0025887,5.3139e-07,357.27,353.57
36,1.2101e-13,0.00035963,0,357.26,353.48
37,0.00048002,0.0014469,5.88e-07,357.19,355.25
38,0.00060722,0.99998,3.6e-07,356.68,356.3
39,0.00093052,0.0086153,1.77e-07,357.27,354.54
40,2.961e-06,0.99999,2.7172e-09,355.28,355.82
41,0.0049652,0.013529,1.144e-07,357.27,354.82
42,0.0043341,0.99999,6.3e-08,353.71,353.99
43,0.022675,0.048613,1.9832e-13,357.26,354.09
44,0.0038469,0.0064758,0.0021621,357.27,357.26
45,0.48487,0.94672,4.484e-10,354.44,355.23
46,0.006696,0.46217,5.2666e-11,355.84,356.42
47,3.0534,3.5475,2.2073,357.21,357.23
48,0.19947,0.75379,4.21e-08,357.24,355.26
49,0.4653,0.89006,0.30601,357.27,357.23
50,0.036843,0.1194,0.01746,357.23,357.26
51,3.69e-14,0.80746,0,357.19,353.48
52,0.30736,1.091,0.088923,357.19,357.23
53,5.3544e-07,0.099433,2.2219e-14,357.27,356.21
54,0.027121,0.24799,1.1479e-08,357.13,355.3
55,0.22122,0.87744,0.074914,356.33,357.13
56,0.47571,1.9556,0.11896,357.23,357.25
57,0.01081,0.09879,6.05e-07,357.26,355.18
58,0.78135,2.5216,0.21568,357.23,357.24
59,0.0069534,0.23572,2.2866e-14,356.75,357.26
60,0.1004,0.2134,0.0538,357.23,357.26
61,0.040892,0.21786,2.25e-07,357.27,353.98
62,1.2025e-06,0.33677,2.5175e-14,357.27,354.96
63,2.2615e-06,0.49857,4.0409e-12,357.27,353.49
64,4.1539e-14,0.043388,0,356.27,353.48
65,3.2112e-11,0.077429,0,357.25,353.48
66,3.7081e-14,0.019233,0,357.26,353.48
67,0.11771,0.28656,0.014886,357.25,355.6
68,0.074206,0.26026,0.035957,357.24,357.21
69,0.012087,0.21953,2.1222e-09,357.23,354.08
70,3.9959,4,1.8065,356.8,357.01
71,3.9869e-14,0.41116,0,357.23,353.48
72,3.0574,3.6457,0.85184,357.15,355.59
73,0.32837,0.5249,2.254e-14,357.25,357.18
74,0.019193,0.73243,0.0034235,357.27,357.25
75,0.00092591,0.74574,2.2276e-14,357.26,354.37
76,0.29351,0.69152,0.039119,357.16,357.26
77,0.18521,0.58811,4.858e-07,357.25,353.78
78,0.023187,0.13952,5.1712e-09,357.26,355.1
79,0.0066346,0.059072,0.0025924,357.27,357.22
80,0.02,0.02,0.006191,355.59,357.23
81,8.9931e-13,0.02,0,354.27,353.48
82,4,4,3.0923,357.27,357.22
83,-0.011547,0.81021,-0.17131,357.25,357.25
84,0.94789,2.6978,0.48236,357.21,355.34
85,0.48654,2.2146,-0.79321,356.87,355.69
86,0.12228,0.6283,-0.17069,357.17,357.17
87,-0.066694,0.027724,-0.5133,357.27,357.24
88,-0.12588,0.051941,-1.0409,356.09,357.17
89,-3.7046,-1.5884,-4,356.74,355.26
90,3.671,3.9855,1.4281,357.2,357.27
91,3.0002,3.5603,0.79397,357.21,355.59
92,-1.2153,-0.17399,-4,357.27,355.14
93,-3.5822,-0.86149,-4,355.61,356.65
94,-1.1043,0.83169,-4,357.26,356.37
95,-0.056239,-0.0246,-0.11132,357.27,357.06
96,-0.01513,0.1098,-0.51246,357.24,356.74
97,-0.1218,-0.013344,-4,357.27,356.53
98,-2.0404,-0.11834,-4,355.81,356.78
99,-3.4938,-0.92059,-4,354.01,356.47
100,-2.1874,-0.27329,-4,357.27,356.47
101,-0.020912,-0.0028011,-0.33676,357.27,357.06
102,0.1939,0.74188,-0.018695,357.2,356.65
103,0.012987,0.015177,0.011427,357.27,357.23
104,1.3292e+05,1.7515e+05,1.043e+05,357.21,357.23
