stage,sample,dpt_pseudotime
266,9mo_SIGAE3_14686.30j,0.059012946
266,9mo_SIGAE3_14686.30j,0.05772157
266,9mo_SIGAE3_14686.30j,0.011458299
266,9mo_SIGAE3_14686.30j,0.0688066
266,9mo_SIGAE3_14686.30j,0.076584816
266,9mo_SIGAE3_14686.30j,0.06362709
266,9mo_SIGAE3_14686.30j,0.00985588
266,9mo_SIGAE3_14686.30j,0.051111925
266,9mo_SIGAE3_14686.30j,0.06331553
266,9mo_SIGAE3_14686.30j,0.04882064
266,9mo_SIGAE3_14686.30j,0.012412263
266,9mo_SIGAE3_14686.30j,0.043744948
266,9mo_SIGAE3_14686.30j,0.05101828
266,9mo_SIGAE3_14686.30j,0.010630234
266,9mo_SIGAE3_14686.30j,0.0509782
266,9mo_SIGAE3_14686.30j,0.06199375
266,9mo_SIGAE3_14686.30j,0.0477905
266,9mo_SIGAE3_14686.30j,0.06265357
266,9mo_SIGAE3_14686.30j,0.06731824
266,9mo_SIGAE3_14686.30j,0.06830229
266,9mo_SIGAE3_14686.30j,0.07282221
266,9mo_SIGAE3_14686.30j,0.07069053
266,9mo_SIGAE3_14686.30j,0.07858799
266,9mo_SIGAE3_14686.30j,0.07120167
266,9mo_SIGAE3_14686.30j,0.07183685
266,9mo_SIGAE3_14686.30j,0.058364585
266,9mo_SIGAE3_14686.30j,0.06304057
266,9mo_SIGAE3_14686.30j,0.06051338
266,9mo_SIGAE3_14686.30j,0.07509495
266,9mo_SIGAE3_14686.30j,0.039143074
266,9mo_SIGAE3_14686.30j,0.07464967
266,9mo_SIGAE3_14686.30j,0.07183859
266,9mo_SIGAE3_14686.30j,0.064578936
266,9mo_SIGAE3_14686.30j,0.044623885
266,9mo_SIGAE3_14686.30j,0.0485585
266,9mo_SIGAE3_14686.30j,0.072647244
266,9mo_SIGAE3_14686.30j,0.06196646
266,9mo_SIGAE3_14686.30j,0.07298102
266,9mo_SIGAE3_14686.30j,0.07153315
266,9mo_SIGAE3_14686.30j,0.020080771
266,9mo_SIGAE3_14686.30j,0.049192026
266,9mo_SIGAE3_14686.30j,0.046374362
266,9mo_SIGAE3_14686.30j,0.039741088
266,9mo_SIGAE3_14686.30j,0.02939104
266,9mo_SIGAE3_14686.30j,0.047545936
266,9mo_SIGAE3_14686.30j,0.061477672
266,9mo_SIGAE3_14686.30j,0.05568212
266,9mo_SIGAE3_14686.30j,0.031845503
266,9mo_SIGAE3_14686.30j,0.033607136
266,9mo_SIGAE3_14686.30j,0.066961884
266,9mo_SIGAE3_14686.30j,0.07589975
266,9mo_SIGAE3_14686.30j,0.061052896
266,9mo_SIGAE3_14686.30j,0.060134668
266,9mo_SIGAE3_14686.30j,0.054194078
266,9mo_SIGAE3_14686.30j,0.062980056
266,9mo_SIGAE3_14686.30j,0.06895245
266,9mo_SIGAE3_14686.30j,0.05797605
266,9mo_SIGAE3_14686.30j,0.02847034
266,9mo_SIGAE3_14686.30j,0.029657688
266,9mo_SIGAE3_14686.30j,0.0360819
266,9mo_SIGAE3_14686.30j,0.04791371
266,9mo_SIGAE3_14686.30j,0.06595411
266,9mo_SIGAE3_14686.30j,0.050712343
266,9mo_SIGAE3_14686.30j,0.075214274
266,9mo_SIGAE3_14686.30j,0.06397713
266,9mo_SIGAE3_14686.30j,0.057724435
266,9mo_SIGAE3_14686.30j,0.032598987
266,9mo_SIGAE3_14686.30j,0.029712873
266,9mo_SIGAE3_14686.30j,0.048058584
266,9mo_SIGAE3_14686.30j,0.060643252
266,9mo_SIGAE3_14686.30j,0.006306838
266,9mo_SIGAE3_14686.30j,0.056224678
266,9mo_SIGAE3_14686.30j,0.06488943
266,9mo_SIGAE3_14686.30j,0.018959202
266,9mo_SIGAE3_14686.30j,0.049160965
266,9mo_SIGAE3_14686.30j,0.073827475
266,9mo_SIGAE3_14686.30j,0.056737773
266,9mo_SIGAE3_14686.30j,0.07616936
266,9mo_SIGAE3_14686.30j,0.07474526
266,9mo_SIGAE3_14686.30j,0.070798844
266,9mo_SIGAE3_14686.30j,0.040616505
266,9mo_SIGAE3_14686.30j,0.05521117
266,9mo_SIGAE3_14686.30j,0.07595602
266,9mo_SIGAE3_14686.30j,0.069281675
266,9mo_SIGAE3_14686.30j,0.053157955
266,9mo_SIGAE3_14686.30j,0.050522085
266,9mo_SIGAE3_14686.30j,0.087185346
266,9mo_SIGAE3_14686.30j,0.07301974
266,9mo_SIGAE3_14686.30j,0.06128765
266,9mo_SIGAE3_14686.30j,0.06071063
266,9mo_SIGAE3_14686.30j,0.039478894
266,9mo_SIGAE3_14686.30j,0.055874776
266,9mo_SIGAE3_14686.30j,0.048475597
266,9mo_SIGAE3_14686.30j,0.047247544
266,9mo_SIGAE3_14686.30j,0.040107418
266,9mo_SIGAE3_14686.30j,0.07239491
266,9mo_SIGAE3_14686.30j,0.0143752135
266,9mo_SIGAE3_14686.30j,0.023052106
266,9mo_SIGAE3_14686.30j,0.05863102
266,9mo_SIGAE3_14686.30j,0.053327244
266,9mo_SIGAE3_14686.30j,0.07071067
266,9mo_SIGAE3_14686.30j,0.045728195
266,9mo_SIGAE3_14686.30j,0.068748064
266,9mo_SIGAE3_14686.30j,0.065717265
