day,mean,sd,replicates
0,31.27450407527172,6.5511592327791295,4
4,76.47264094541082,17.646271826405368,6
9,159.10727421531615,25.406763013209446,4
24,424.90522554254085,130.15546580393934,4
46,435.4207543486189,108.5455001591558,4
73,1698.642630385235,167.2072863853899,2
109,1956.6297909684013,378.3280853975746,4
158,848.8550564878858,283.7685941547112,4
266,6906.431706157813,1324.4849820931609,2
