stage,sample,dpt_pseudotime
266,9mo_SIGAE3_14686.30d,0.009915503
266,9mo_SIGAE3_14686.30d,0.011061186
266,9mo_SIGAE3_14686.30d,0.0211718
266,9mo_SIGAE3_14686.30d,0.0068885954
266,9mo_SIGAE3_14686.30d,0.004614376
266,9mo_SIGAE3_14686.30d,0.0078034024
266,9mo_SIGAE3_14686.30d,0.013933004
266,9mo_SIGAE3_14686.30d,0.007734819
266,9mo_SIGAE3_14686.30d,0.014846963
266,9mo_SIGAE3_14686.30d,0.011535748
266,9mo_SIGAE3_14686.30d,0.009119273
266,9mo_SIGAE3_14686.30d,0.017705576
266,9mo_SIGAE3_14686.30d,0.010720081
266,9mo_SIGAE3_14686.30d,0.011941865
266,9mo_SIGAE3_14686.30d,0.010615869
266,9mo_SIGAE3_14686.30d,0.04786435
266,9mo_SIGAE3_14686.30d,0.01395851
266,9mo_SIGAE3_14686.30d,0.0058113853
266,9mo_SIGAE3_14686.30d,0.008279809
266,9mo_SIGAE3_14686.30d,0.0150184175
266,9mo_SIGAE3_14686.30d,0.0022359504
266,9mo_SIGAE3_14686.30d,0.004893898
266,9mo_SIGAE3_14686.30d,0.017760605
266,9mo_SIGAE3_14686.30d,0.004032976
266,9mo_SIGAE3_14686.30d,0.02108157
266,9mo_SIGAE3_14686.30d,0.012644098
266,9mo_SIGAE3_14686.30d,0.013674291
266,9mo_SIGAE3_14686.30d,0.014493419
266,9mo_SIGAE3_14686.30d,0.012635167
266,9mo_SIGAE3_14686.30d,0.01637676
266,9mo_SIGAE3_14686.30d,0.008198559
266,9mo_SIGAE3_14686.30d,0.014288819
266,9mo_SIGAE3_14686.30d,0.014858337
266,9mo_SIGAE3_14686.30d,0.01152144
266,9mo_SIGAE3_14686.30d,0.011062631
266,9mo_SIGAE3_14686.30d,0.017908394
266,9mo_SIGAE3_14686.30d,0.008656486
266,9mo_SIGAE3_14686.30d,0.008272776
266,9mo_SIGAE3_14686.30d,0.012959858
266,9mo_SIGAE3_14686.30d,0.010919268
266,9mo_SIGAE3_14686.30d,0.012351177
266,9mo_SIGAF3_14686.30h,0.0034638976
266,9mo_SIGAF3_14686.30h,0.010854093
266,9mo_SIGAF3_14686.30h,0.01909782
266,9mo_SIGAF3_14686.30h,0.011851313
266,9mo_SIGAF3_14686.30h,0.00725839
266,9mo_SIGAF3_14686.30h,0.0065566874
266,9mo_SIGAF3_14686.30h,0.011622802
266,9mo_SIGAF3_14686.30h,0.010201088
266,9mo_SIGAF3_14686.30h,0.0071047195
266,9mo_SIGAF3_14686.30h,0.015459922
266,9mo_SIGAF3_14686.30h,0.0070916177
266,9mo_SIGAF3_14686.30h,0.013333199
