stage,sample,dpt_pseudotime
266,9mo_SIGAE3_14686.30j,0.018268565
266,9mo_SIGAE3_14686.30j,0.016838
266,9mo_SIGAE3_14686.30j,0.020687254
266,9mo_SIGAE3_14686.30j,0.023137128
266,9mo_SIGAE3_14686.30j,0.018723717
266,9mo_SIGAE3_14686.30j,0.020080771
266,9mo_SIGAE3_14686.30j,0.018959202
266,9mo_SIGAE3_14686.30j,0.016592706
266,9mo_SIGAE3_14686.30j,0.023052106
266,9mo_SIGAE3_14686.30j,0.019537
266,9mo_SIGAE3_14686.30j,0.018651811
266,9mo_SIGAE3_14686.30j,0.020683993
266,9mo_SIGAE3_14686.30j,0.018560475
266,9mo_SIGAE3_14686.30j,0.015571623
266,9mo_SIGAE3_14686.30j,0.01967513
266,9mo_SIGAE3_14686.30j,0.02034695
266,9mo_SIGAE3_14686.30j,0.023221616
266,9mo_SIGAE3_14686.30j,0.03023333
266,9mo_SIGAE3_14686.30j,0.018302605
266,9mo_SIGAE3_14686.30j,0.0168864
266,9mo_SIGAE3_14686.30j,0.01633188
266,9mo_SIGAE3_14686.30j,0.025603848
266,9mo_SIGAE3_14686.30j,0.01883416
266,9mo_SIGAE3_14686.30j,0.016790746
266,9mo_SIGAE3_14686.30j,0.015762411
266,9mo_SIGAE3_14686.30j,0.016465804
266,9mo_SIGAE3_14686.30j,0.016676057
266,9mo_SIGAE3_14686.30j,0.017100116
266,9mo_SIGAE3_14686.30j,0.020212837
266,9mo_SIGAE3_14686.30j,0.024035646
266,9mo_SIGAE3_14686.30j,0.016506385
266,9mo_SIGAE3_14686.30j,0.020230351
266,9mo_SIGAE3_14686.30j,0.018536862
266,9mo_SIGAE3_14686.30j,0.01583255
266,9mo_SIGAE3_14686.30j,0.01621446
266,9mo_SIGAE3_14686.30j,0.01597102
266,9mo_SIGAE3_14686.30j,0.015810046
266,9mo_SIGAE3_14686.30j,0.021019109
266,9mo_SIGAE3_14686.30j,0.017219063
266,9mo_SIGAE3_14686.30j,0.017198937
266,9mo_SIGAE3_14686.30j,0.017185697
266,9mo_SIGAE3_14686.30j,0.015237081
266,9mo_SIGAE3_14686.30j,0.019271968
266,9mo_SIGAE3_14686.30j,0.01731647
266,9mo_SIGAE3_14686.30j,0.015921459
266,9mo_SIGAE3_14686.30j,0.018983709
266,9mo_SIGAE3_14686.30j,0.01537505
266,9mo_SIGAE3_14686.30j,0.017061338
266,9mo_SIGAE3_14686.30j,0.018436035
266,9mo_SIGAE3_14686.30j,0.027055202
266,9mo_SIGAE3_14686.30j,0.017016692
266,9mo_SIGAE3_14686.30j,0.017118229
266,9mo_SIGAE3_14686.30j,0.018032089
266,9mo_SIGAE3_14686.30j,0.016836142
266,9mo_SIGAE3_14686.30j,0.01848922
266,9mo_SIGAE3_14686.30j,0.018522125
266,9mo_SIGAE3_14686.30j,0.018925253
266,9mo_SIGAE3_14686.30j,0.015344311
266,9mo_SIGAE3_14686.30j,0.016701171
266,9mo_SIGAE3_14686.30j,0.01649386
266,9mo_SIGAE3_14686.30j,0.015304452
266,9mo_SIGAE3_14686.30j,0.015048554
266,9mo_SIGAE3_14686.30j,0.019436933
266,9mo_SIGAE3_14686.30j,0.02031227
266,9mo_SIGAE3_14686.30j,0.020071581
266,9mo_SIGAE3_14686.30j,0.017467476
266,9mo_SIGAE3_14686.30j,0.021937653
