day,mean,sd,replicates
0,26.47126324571144,2.9126684610260383,4
4,76.07965549604997,19.057347514420172,6
9,169.51513302960527,39.441325960116366,4
24,596.5772629687995,175.860420218362,4
46,786.1465355967869,211.67783682681306,4
73,2752.491379561543,50.234219717946594,2
109,4471.169036683004,901.5299544295242,4
158,1439.4574028871614,446.67375559274205,4
266,11816.334542707958,156.68525028281357,2
