day,mean,sd,replicates
0,21.710355298207322,6.6608118390987885,4
4,54.36611805832456,18.571051237294323,6
9,38.692235331890174,4.220295927919843,4
24,176.62475573040692,56.109541532660174,4
46,202.85193536824602,55.7587428621742,4
73,655.0033731828469,50.60189216873175,2
109,816.5036024150178,171.1338939984202,4
158,335.25745631021215,121.19946473509033,4
266,3047.206205584688,259.041204328251,2
